id,key,value,type
657752,place,suburb,regular
657759,public_transport,stop_position,regular
657761,public_transport,stop_position,regular
657796,highway,traffic_signals,regular
657796,crossing,traffic_signals,regular
657799,highway,traffic_signals,regular
658451,source,Bing,regular
673876,highway,traffic_signals,regular
673877,highway,traffic_signals,regular
673877,traffic_signals,signal,regular
675845,public_transport,stop_position,regular
675854,public_transport,stop_position,regular
675855,highway,mini_roundabout,regular
675855,direction,clockwise,regular
675890,name,Townhill Park,regular
675890,is_in,Southampton,regular
675890,place,suburb,regular
700410,highway,traffic_signals,regular
702362,ref,SOA,regular
702362,name,Southampton Airport Parkway,regular
702362,railway,station,regular
702362,postal_code,SO18 2HW,regular
702362,AtcoCode,9100SOTPKWY,naptan
2742645,highway,traffic_signals,regular
2742645,crossing,traffic_signals,regular
2742649,created_by,JOSM,regular
2742650,created_by,JOSM,regular
2742652,created_by,JOSM,regular
2773041,highway,traffic_signals,regular
2773491,highway,traffic_signals,regular
2773918,highway,speed_camera,regular
3915353,created_by,JOSM,regular
3915355,created_by,JOSM,regular
3915357,created_by,JOSM,regular
3915739,traffic_calming,choker,regular
3915748,created_by,JOSM,regular
3915752,created_by,JOSM,regular
3915765,highway,mini_roundabout,regular
3915765,direction,clockwise,regular
3915771,highway,mini_roundabout,regular
3915771,direction,clockwise,regular
4931456,highway,traffic_signals,regular
5716047,created_by,JOSM,regular
7015241,highway,traffic_signals,regular
7015694,source,Survey;Bing,regular
7015694,highway,crossing,regular
7015694,crossing,traffic_signals,regular
7015694,sloped_curb,yes,regular
7015694,crossing_ref,puffin,regular
7015694,tactile_paving,yes,regular
7015694,button_operated,yes,regular
8596750,highway,traffic_signals,regular
8596762,foot,yes,regular
8596762,bicycle,yes,regular
8596762,highway,traffic_signals,regular
8596762,crossing,traffic_signals,regular
8596773,created_by,JOSM,regular
8596785,created_by,JOSM,regular
8596810,highway,crossing,regular
8596810,crossing,traffic_signals,regular
8596815,highway,traffic_signals,regular
9266205,highway,traffic_signals,regular
9266208,highway,traffic_signals,regular
9267990,highway,traffic_signals,regular
9267992,highway,traffic_signals,regular
9280980,odbl,clean,regular
9280981,public_transport,stop_position,regular
9280983,odbl,clean,regular
9280989,created_by,JOSM,regular
9280990,created_by,JOSM,regular
9280991,odbl,clean,regular
9280992,odbl,clean,regular
9726311,highway,crossing,regular
9726311,crossing,uncontrolled,regular
9726311,crossing_ref,zebra,regular
9727807,created_by,JOSM,regular
9727810,created_by,JOSM,regular
9727814,created_by,JOSM,regular
9727815,created_by,JOSM,regular
10215643,created_by,JOSM,regular
10216417,odbl,clean,regular
10216421,public_transport,stop_position,regular
10216426,public_transport,stop_position,regular
10216805,created_by,JOSM,regular
10216806,created_by,JOSM,regular
10216809,created_by,JOSM,regular
10217121,public_transport,stop_position,regular
10217640,odbl,clean,regular
10222195,odbl,clean,regular
10222198,highway,crossing,regular
10222198,crossing,traffic_signals,regular
10222198,sloped_curb,yes,regular
10222198,crossing_ref,toucan,regular
10222198,tactile_paving,yes,regular
10222203,highway,speed_camera,regular
10222204,highway,traffic_signals,regular
10222205,highway,traffic_signals,regular
10222212,highway,traffic_signals,regular
10222231,highway,traffic_signals,regular
10222234,highway,traffic_signals,regular
10387178,created_by,JOSM,regular
10387204,created_by,JOSM,regular
10387205,created_by,JOSM,regular
10387206,created_by,JOSM,regular
10387220,created_by,JOSM,regular
10387221,created_by,JOSM,regular
10537074,name,Millers Pond,regular
10537074,amenity,pub,regular
10537074,created_by,JOSM,regular
10537328,created_by,JOSM,regular
10908368,odbl,clean,regular
10908370,odbl,clean,regular
10908371,odbl,clean,regular
10908375,odbl,clean,regular
10908378,odbl,clean,regular
10908383,odbl,clean,regular
10908384,odbl,clean,regular
10908385,odbl,clean,regular
10908390,odbl,clean,regular
10942466,created_by,JOSM,regular
10942469,created_by,JOSM,regular
10942470,created_by,JOSM,regular
10942477,created_by,JOSM,regular
10942480,created_by,JOSM,regular
10942486,created_by,JOSM,regular
10942487,created_by,JOSM,regular
10942488,created_by,JOSM,regular
10942498,created_by,JOSM,regular
10942500,created_by,JOSM,regular
10942502,created_by,JOSM,regular
10942503,created_by,JOSM,regular
10942506,created_by,JOSM,regular
10942508,created_by,JOSM,regular
10942509,created_by,JOSM,regular
10942510,created_by,JOSM,regular
10942511,created_by,JOSM,regular
10942512,created_by,JOSM,regular
10942514,created_by,JOSM,regular
10942516,created_by,JOSM,regular
10942517,created_by,JOSM,regular
10942518,created_by,JOSM,regular
10942521,created_by,JOSM,regular
10942524,created_by,JOSM,regular
10942526,created_by,JOSM,regular
10942528,created_by,JOSM,regular
10942529,created_by,JOSM,regular
10942531,created_by,JOSM,regular
10942532,created_by,JOSM,regular
10942535,created_by,JOSM,regular
10942540,created_by,JOSM,regular
10942542,public_transport,stop_position,regular
10942543,created_by,JOSM,regular
10942545,created_by,JOSM,regular
10942548,created_by,JOSM,regular
10942549,created_by,JOSM,regular
10942550,created_by,JOSM,regular
10942551,created_by,JOSM,regular
10942552,created_by,JOSM,regular
10942554,created_by,JOSM,regular
10942567,created_by,JOSM,regular
10942569,created_by,JOSM,regular
10942572,created_by,JOSM,regular
10942573,created_by,JOSM,regular
10942577,name,BP,regular
10942577,amenity,fuel,regular
10942577,operator,BP,regular
10942578,created_by,JOSM,regular
10942581,created_by,JOSM,regular
10942584,created_by,JOSM,regular
10942587,created_by,JOSM,regular
10942588,created_by,JOSM,regular
10942592,created_by,JOSM,regular
10942594,created_by,JOSM,regular
10942597,created_by,JOSM,regular
10942604,created_by,JOSM,regular
10942609,created_by,JOSM,regular
10942610,created_by,JOSM,regular
10942611,created_by,JOSM,regular
